Name   	 Mass (hand)  	 Miss (hand) 	 Mass (alg)  	 Miss (alg) 	 dV
GS103+07-018*   	      85400.0 	      82800.0 	      40926.9 	     309490.3 	      20600.0 
GS116-06-042*   	      24900.0 	      18900.0 	      14533.0 	      77952.9 	      16500.0 
GS093-14-021*   	      88800.0 	      45000.0 	      57747.8 	     238161.2 	      22700.0 
GS120+16-067*   	      65400.0 	      37900.0 	      33802.8 	      46301.5 	      22700.0 
GS109+06-032   	      25000.0 	      16500.0 	      11692.0 	      52646.1 	      20600.0 
GS098-25-018*   	      10800.0 	      10800.0 	       7224.9 	      14355.2 	      21600.0 
GS100+09-040*   	      53400.0 	      29900.0 	      38874.9 	     101162.2 	      14400.0 
GS093+11-034*   	      25400.0 	      12800.0 	       9193.5 	      18410.1 	      19600.0 
GS098+24-032   	       9550.0 	       8060.0 	       6282.4 	      26414.9 	      27800.0 
GS101-13-056*   	     240000.0 	     169000.0 	     149667.1 	     149744.8 	      36100.0 
GS105-03-061   	     224000.0 	     124000.0 	      58768.6 	     105543.2 	      16500.0 
GS110-04-067   	      78000.0 	      71500.0 	      37771.0 	     151477.4 	      32000.0 
GS108+00-075*   	      46700.0 	      28600.0 	      24040.5 	     147169.5 	      18600.0 
GS117+08-076*   	      54900.0 	      39200.0 	      28812.8 	     185351.7 	      19600.0 
GS202+05+031   	      17400.0 	       9220.0 	      15884.0 	     109151.1 	      20600.0 
GS139+06-054*   	      32000.0 	       8720.0 	      12084.4 	      54215.8 	       9200.0 
GS142-01-057   	      20300.0 	      12600.0 	      10909.2 	     168034.0 	      12400.0 
GS153-10-026*   	      15500.0 	      15500.0 	       9370.3 	       9551.8 	      10300.0 
GS130+00-068*   	      15200.0 	       8250.0 	       7562.5 	       7600.5 	       6200.0 
GS161+03-036   	     345000.0 	     194000.0 	      88900.0 	     275867.1 	       8200.0 
GS218-05+037*   	       8040.0 	       8030.0 	      10916.2 	      51538.1 	       5200.0 
GS224-18+036   	       2950.0 	       2190.0 	      10332.5 	      11198.9 	      16500.0 
GS240-13+064*   	      16000.0 	      14500.0 	      12643.9 	      13272.7 	      13400.0 
GS257+09+037   	      49900.0 	      28600.0 	      20340.1 	      57061.4 	      23700.0 
GS257-25+030*   	       5790.0 	       3040.0 	       4825.8 	       7579.3 	      13400.0 
GS262-09+048*   	      55200.0 	      39500.0 	      25160.8 	      25055.3 	      17500.0 
GS264-04+044   	      39000.0 	      22300.0 	       8339.0 	      23034.7 	       7200.0 
GS252-04+074*   	     114000.0 	      78200.0 	     159423.6 	     298190.1 	       9300.0 
GS263-08+068*   	     137000.0 	     119000.0 	      95666.1 	     182140.0 	      17500.0 
GS089-21-025*   	      32600.0 	      40500.0 	      44920.5 	      68690.3 	      11300.0 
GS109+16-033*   	      65400.0 	      72400.0 	      19910.6 	      78697.4 	      42500.0 
GS120+08-028   	      32000.0 	      19700.0 	       7042.1 	      55477.8 	      27800.0 
GS153-10-026*   	      17800.0 	      10100.0 	       9370.3 	       9551.8 	      10300.0 
GS247+06+055*   	       8790.0 	      11200.0 	       8083.0 	      35110.4 	      11300.0 
GS246-05+086   	      26700.0 	      19400.0 	      10512.4 	       7652.4 	      12400.0 
GS142-01-057   	      78600.0 	     101000.0 	      10909.2 	     168034.0 	      12400.0 
268+00+108   	          NaN 	          NaN 	     165214.3 	     265814.6 	      11300.0 
268+06+036*   	          NaN 	          NaN 	      15070.7 	      24708.6 	      15500.0 
266-05+096*   	          NaN 	          NaN 	     178160.8 	     499034.4 	      13400.0 
265-10+080*   	          NaN 	          NaN 	       6408.0 	      30431.8 	      10300.0 
265+05+043*   	          NaN 	          NaN 	      16551.7 	     107842.5 	      10300.0 
264+23+019*   	          NaN 	          NaN 	      14429.0 	      18908.6 	       5200.0 
263-02+093   	          NaN 	          NaN 	      37759.8 	      44610.8 	       8200.0 
263+09+042*   	          NaN 	          NaN 	       3684.5 	      32118.4 	      18600.0 
262-08+091*   	          NaN 	          NaN 	      20124.4 	      71778.3 	      12400.0 
262-01+110   	          NaN 	          NaN 	      19859.9 	      69307.4 	       6200.0 
260-05+104   	          NaN 	          NaN 	      26714.6 	     144826.5 	       6200.0 
258+22+020   	          NaN 	          NaN 	      14123.5 	      14221.3 	      11300.0 
256+00+079   	          NaN 	          NaN 	      15778.1 	      44487.0 	       6200.0 
254-05+080   	          NaN 	          NaN 	      39302.1 	     154949.0 	       9300.0 
254+30+016*   	          NaN 	          NaN 	      14755.8 	      14619.8 	      13400.0 
252-03+039   	          NaN 	          NaN 	       8454.7 	      42867.6 	      10300.0 
252+02+052*   	          NaN 	          NaN 	      29188.6 	      44953.4 	       9300.0 
252-21+031*   	          NaN 	          NaN 	       3141.0 	      24362.9 	      10300.0 
252+04+064*   	          NaN 	          NaN 	      17237.2 	      33561.1 	      14400.0 
