Name   	 Mass (hand)  	 Miss (hand) 	 Mass (alg)  	 Miss (alg) 	 dV
GS101-02-037   	     117000.0 	      66200.0 	      27768.1 	     137933.8 	      18600.0 
GS108-03-022   	      83100.0 	      52300.0 	       6063.9 	      78734.9 	      27800.0 
GS101+29-026   	      59300.0 	      49600.0 	       2731.9 	      83199.3 	      34000.0 
GS118+01-044   	      37900.0 	      51200.0 	       7539.0 	     211109.7 	      16500.0 
GS121-05-037   	     111000.0 	      58500.0 	      13707.4 	      89533.0 	      14400.0 
GS093-06-034   	      25600.0 	      12800.0 	       9057.5 	      85108.0 	      32000.0 
GS104+03-038   	      62000.0 	      39000.0 	       7088.4 	      38934.9 	      15500.0 
GS100-06-019   	      51600.0 	      27000.0 	       3089.4 	      17347.4 	       9300.0 
GS119-04-058   	      71000.0 	      48600.0 	       9964.0 	      62160.3 	      19600.0 
GS115-05-054   	      22400.0 	      18000.0 	       8403.8 	      30407.4 	      14400.0 
GS114-03-054   	      18600.0 	       9620.0 	      18200.3 	      57994.7 	      11300.0 
GS102-08-054   	     107000.0 	      60600.0 	      31782.4 	     127724.6 	      36100.0 
GS107+13-040   	      38000.0 	      20400.0 	       4771.9 	      29260.4 	      32000.0 
GS113-01-075   	      91000.0 	      46900.0 	      23579.0 	      69898.4 	      12400.0 
GS195+28+014   	       3090.0 	       2430.0 	       1691.6 	       3767.3 	       6200.0 
GS201-23+025   	       3990.0 	       2100.0 	       2272.0 	       2426.2 	       6200.0 
GS199-13+025   	       5350.0 	       2660.0 	       3310.2 	       7532.8 	       6200.0 
GS198-01+035   	      35700.0 	      20300.0 	      28251.5 	      82046.4 	       5200.0 
GS202+10+014   	       6400.0 	       3740.0 	       1389.8 	       8103.5 	      12400.0 
GS140-03-079   	     297000.0 	     153000.0 	      44138.7 	     931989.7 	      14400.0 
GS141-10-042   	      28800.0 	      18500.0 	       8546.7 	      43365.1 	      10300.0 
GS144-03-054   	       6180.0 	       3190.0 	      13715.6 	      39527.1 	      12400.0 
GS138+02-053   	      26200.0 	      13800.0 	      23289.5 	      67355.4 	      12400.0 
GS136-09-033   	      22500.0 	      13000.0 	       2002.0 	      21833.8 	      11300.0 
GS227+05+051   	       7780.0 	       4100.0 	       6658.6 	      38138.3 	      14400.0 
GS229+03+073   	      22200.0 	      12200.0 	      21294.4 	      23766.5 	      13400.0 
GS221-03+045   	      27500.0 	      14000.0 	       8561.9 	      62929.9 	       7200.0 
GS230-06+040   	      63500.0 	      35500.0 	       3318.3 	     284083.1 	      10300.0 
GS222+13+026   	       5580.0 	       4010.0 	       1145.1 	      11786.2 	      10300.0 
GS240+05+033   	       5270.0 	       3970.0 	       2337.9 	       7491.4 	       8200.0 
GS259-08+090   	     109000.0 	      66500.0 	      43002.4 	     193934.1 	      15500.0 
GS246+07+048   	       5930.0 	       5720.0 	       4720.4 	      17499.0 	      12400.0 
GS256-16+055   	      11700.0 	       7650.0 	       3264.2 	      11258.3 	      12400.0 
GS253-12+053   	      45600.0 	      29500.0 	       8705.4 	      29094.4 	      24700.0 
GS265-06+082   	     128000.0 	      67500.0 	      53669.1 	     259071.9 	      11300.0 
GS260-04+081   	      37200.0 	      37000.0 	      16758.7 	     102944.3 	      12400.0 
GS269+04+044   	      21600.0 	      15500.0 	      18763.7 	     155919.5 	      21700.0 
GS253+07+062   	     100000.0 	      51800.0 	      38800.1 	     200777.8 	      19600.0 
GS261-03+055   	      24900.0 	      16500.0 	       8716.3 	     154804.9 	       9300.0 
GS257+00+067   	      20100.0 	      11800.0 	      28411.4 	      44310.0 	       7200.0 
GS263+10+020   	      13300.0 	      13900.0 	       2175.9 	      28040.3 	      15500.0 
GS164+00-021   	      30800.0 	      19800.0 	       8222.2 	      72066.0 	       9300.0 
GS129+05-061   	     211000.0 	     167000.0 	      24202.2 	     153079.1 	      18600.0 
GS135-09-056   	      54400.0 	      47700.0 	      12175.8 	     132064.1 	      13400.0 
GS153+02-047   	      24600.0 	      14000.0 	      27886.9 	      79682.2 	       9300.0 
GS133-07-045   	     158000.0 	      97500.0 	      10959.5 	     263061.1 	      13400.0 
GS240+00+035   	       4830.0 	       4690.0 	       1201.2 	       6922.3 	       7200.0 
GS232+02+081   	      32600.0 	      17200.0 	      13137.6 	      27097.2 	       9300.0 
GS247+00+086   	      74700.0 	      37500.0 	      17796.3 	     112043.5 	      13400.0 
GS239-02+068   	      72100.0 	      46900.0 	      23982.1 	     220289.6 	      14400.0 
GS146-11-045   	       4120.0 	       2210.0 	       6958.1 	      12229.0 	      32000.0 
GS137+03-063   	      42400.0 	      22400.0 	      16921.4 	      90805.3 	       6200.0 
GS124-09-043   	      42500.0 	      23000.0 	       4812.8 	     161090.6 	      39200.0 
GS122-02-077   	     192000.0 	     153000.0 	      20316.8 	     235966.3 	      16500.0 
GS105-12-040   	      24200.0 	      23300.0 	       4950.9 	      16145.5 	      28900.0 
GS113-14-042   	      36400.0 	      32100.0 	       5469.6 	      65632.9 	      15500.0 
GS108+03-088   	      32600.0 	      16800.0 	      29775.9 	      31899.8 	      13400.0 
GS107+02-069   	      71400.0 	      44000.0 	      27111.3 	      49435.2 	      13400.0 
GS146-11-025   	      12100.0 	       9110.0 	       3777.2 	      71173.1 	      14500.0 
GS164+00-021   	      28800.0 	      30700.0 	       8222.2 	      72066.0 	       9300.0 
GS114-05-062   	      42100.0 	      39400.0 	      17635.5 	      37052.3 	      14400.0 
GS144+08-031   	      65100.0 	      35000.0 	       5121.4 	     107290.6 	      18600.0 
269-01+080   	          NaN 	          NaN 	      75477.2 	     161793.0 	      12400.0 
268-01+066   	          NaN 	          NaN 	      38764.7 	     154931.6 	      10300.0 
267-03+117   	          NaN 	          NaN 	      87034.0 	     213434.3 	       5200.0 
266+07+029   	          NaN 	          NaN 	       2358.4 	       9564.2 	      12400.0 
265-03+108   	          NaN 	          NaN 	      12394.6 	      27377.1 	       6200.0 
265-11+024   	          NaN 	          NaN 	       1720.7 	      14365.1 	       6200.0 
264-06+100   	          NaN 	          NaN 	      23792.9 	      41341.0 	       5200.0 
264-02+067   	          NaN 	          NaN 	      12076.8 	      12166.2 	       5200.0 
264-02+125   	          NaN 	          NaN 	      51857.7 	     121564.0 	      12400.0 
263+00+064   	          NaN 	          NaN 	       6376.8 	      27847.7 	       9300.0 
263+00+048   	          NaN 	          NaN 	      46738.3 	     259762.2 	      13400.0 
263-04+121   	          NaN 	          NaN 	      37988.1 	      38506.9 	       6200.0 
263-03+094   	          NaN 	          NaN 	      14233.8 	      64634.6 	      10300.0 
262+05+046   	          NaN 	          NaN 	       1633.6 	       9413.2 	       6200.0 
262+00+092   	          NaN 	          NaN 	      16341.3 	      30952.7 	       6200.0 
261+30+022   	          NaN 	          NaN 	       1918.4 	       8120.9 	      11300.0 
260+00+098   	          NaN 	          NaN 	      98668.6 	     214469.8 	       8300.0 
259-17+012   	          NaN 	          NaN 	        390.6 	      10870.3 	       9300.0 
258-05+090   	          NaN 	          NaN 	      18035.2 	     153218.0 	      10300.0 
257-04+107   	          NaN 	          NaN 	      83152.6 	     506241.6 	       9300.0 
257-30+021   	          NaN 	          NaN 	       3076.2 	      16557.3 	      10300.0 
256-05+052   	          NaN 	          NaN 	       3620.4 	      76914.3 	       7200.0 
256+01+099   	          NaN 	          NaN 	      13473.5 	      55717.4 	       9300.0 
255+21+015   	          NaN 	          NaN 	       1636.5 	      19372.2 	      14400.0 
