Name   	 Mass (hand)  	 Miss (hand) 	 Mass (alg)  	 Miss (alg)
GS103+07-018*   	      85400.0 	      82800.0 	     161913.8 	     162077.7 
GS116-06-042*   	      24900.0 	      18900.0 	      48352.4 	      48433.9 
GS093-14-021*   	      88800.0 	      45000.0 	     218991.9 	     217192.3 
GS120+16-067*   	      65400.0 	      37900.0 	      27518.4 	      27698.6 
GS109+06-032   	      25000.0 	      16500.0 	      29545.1 	      29779.7 
GS098-25-018*   	      10800.0 	      10800.0 	      10526.3 	       8293.1 
GS100+09-040*   	      53400.0 	      29900.0 	      64100.4 	      64042.9 
GS093+11-034*   	      25400.0 	      12800.0 	      14796.2 	      14803.0 
GS098+24-032   	       9550.0 	       8060.0 	      18177.3 	      18177.0 
GS101-13-056*   	     240000.0 	     169000.0 	     133424.4 	     133309.1 
GS105-03-061   	     224000.0 	     124000.0 	      43326.3 	      31936.4 
GS110-04-067   	      78000.0 	      71500.0 	      42495.6 	      20632.7 
GS108+00-075*   	      46700.0 	      28600.0 	      68230.4 	      68313.0 
GS117+08-076*   	      54900.0 	      39200.0 	     138112.1 	     139000.0 
GS202+05+031   	      17400.0 	       9220.0 	      67482.6 	      67284.3 
GS139+06-054*   	      32000.0 	       8720.0 	      18742.2 	      16989.7 
GS142-01-057   	      20300.0 	      12600.0 	      19964.0 	      19953.4 
GS153-10-026*   	      15500.0 	      15500.0 	       3353.6 	       3361.1 
GS130+00-068*   	      15200.0 	       8250.0 	       1775.5 	       1301.4 
GS161+03-036   	     345000.0 	     194000.0 	     250467.1 	     191737.2 
GS218-05+037*   	       8040.0 	       8030.0 	      39279.6 	      39288.8 
GS224-18+036   	       2950.0 	       2190.0 	       8189.1 	       8193.8 
GS240-13+064*   	      16000.0 	      14500.0 	      19708.4 	      19708.9 
GS257+09+037   	      49900.0 	      28600.0 	      39388.9 	      39514.8 
GS257-25+030*   	       5790.0 	       3040.0 	       3522.4 	       3521.4 
GS262-09+048*   	      55200.0 	      39500.0 	      25015.1 	      26087.3 
GS264-04+044   	      39000.0 	      22300.0 	      17302.6 	      17295.1 
GS252-04+074*   	     114000.0 	      78200.0 	     371417.7 	     370906.3 
GS263-08+068*   	     137000.0 	     119000.0 	      76447.1 	      76589.3 
GS089-21-025*   	      32600.0 	      40500.0 	      50738.0 	      57450.5 
GS109+16-033*   	      65400.0 	      72400.0 	      47567.4 	      47447.4 
GS120+08-028   	      32000.0 	      19700.0 	      15422.0 	      15156.5 
GS153-10-026*   	      17800.0 	      10100.0 	       3353.6 	       3361.1 
GS247+06+055*   	       8790.0 	      11200.0 	      25222.7 	      25275.8 
GS246-05+086   	      26700.0 	      19400.0 	       8560.2 	       9053.9 
GS142-01-057   	      78600.0 	     101000.0 	      19964.0 	      19953.4 
