Name   	 Mass (hand)  	 Miss (hand) 	 Mass (alg)  	 Miss (alg) 	 dV
GS101-02-037   	     117000.0 	      66200.0 	     113765.1 	     117155.8 	      18600.0 
GS108-03-022   	      83100.0 	      52300.0 	        217.4 	      16896.8 	      27800.0 
GS101+29-026   	      59300.0 	      49600.0 	      77322.1 	      72462.8 	      34000.0 
GS118+01-044   	      37900.0 	      51200.0 	     202391.1 	     202219.4 	      16500.0 
GS121-05-037   	     111000.0 	      58500.0 	      59463.9 	      65602.3 	      14400.0 
GS093-06-034   	      25600.0 	      12800.0 	      86263.3 	      86210.5 	      32000.0 
GS104+03-038   	      62000.0 	      39000.0 	      24227.7 	      26770.9 	      15500.0 
GS100-06-019   	      51600.0 	      27000.0 	      23152.0 	      23136.1 	       9300.0 
GS119-04-058   	      71000.0 	      48600.0 	        571.9 	       7556.6 	      19600.0 
GS115-05-054   	      22400.0 	      18000.0 	      37159.4 	      37091.8 	      14400.0 
GS114-03-054   	      18600.0 	       9620.0 	        127.0 	       8982.6 	      11300.0 
GS102-08-054   	     107000.0 	      60600.0 	      24577.9 	      25406.4 	      36100.0 
GS107+13-040   	      38000.0 	      20400.0 	      18330.6 	      18620.7 	      32000.0 
GS113-01-075   	      91000.0 	      46900.0 	      41975.8 	      64099.2 	      12400.0 
GS195+28+014   	       3090.0 	       2430.0 	       3826.2 	       3696.8 	       6200.0 
GS201-23+025   	       3990.0 	       2100.0 	       1115.1 	       1115.6 	       6200.0 
GS199-13+025   	       5350.0 	       2660.0 	       7648.3 	       7650.0 	       6200.0 
GS198-01+035   	      35700.0 	      20300.0 	     106390.4 	      95603.7 	       5200.0 
GS202+10+014   	       6400.0 	       3740.0 	       2213.8 	       2213.9 	      12400.0 
GS140-03-079   	     297000.0 	     153000.0 	       2805.7 	     217683.9 	      14400.0 
GS141-10-042   	      28800.0 	      18500.0 	      28103.9 	      28384.5 	      10300.0 
GS144-03-054   	       6180.0 	       3190.0 	      12910.5 	      12861.7 	      12400.0 
GS138+02-053   	      26200.0 	      13800.0 	      10018.8 	      48904.0 	      12400.0 
GS136-09-033   	      22500.0 	      13000.0 	       5837.8 	       5857.4 	      11300.0 
GS227+05+051   	       7780.0 	       4100.0 	       2962.9 	      11217.7 	      14400.0 
GS229+03+073   	      22200.0 	      12200.0 	      30372.7 	      30393.4 	      13400.0 
GS221-03+045   	      27500.0 	      14000.0 	      55054.5 	      54474.7 	       7200.0 
GS230-06+040   	      63500.0 	      35500.0 	        359.7 	      12402.6 	      10300.0 
GS222+13+026   	       5580.0 	       4010.0 	       7112.0 	       7592.6 	      10300.0 
GS240+05+033   	       5270.0 	       3970.0 	       4448.0 	       4451.0 	       8200.0 
GS259-08+090   	     109000.0 	      66500.0 	       3039.1 	      32979.4 	      15500.0 
GS246+07+048   	       5930.0 	       5720.0 	       7575.4 	       9455.9 	      12400.0 
GS256-16+055   	      11700.0 	       7650.0 	       3684.2 	       3684.7 	      12400.0 
GS253-12+053   	      45600.0 	      29500.0 	      10176.6 	      11465.0 	      24700.0 
GS265-06+082   	     128000.0 	      67500.0 	      43784.9 	      43766.9 	      11300.0 
GS260-04+081   	      37200.0 	      37000.0 	      16966.0 	      16480.3 	      12400.0 
GS269+04+044   	      21600.0 	      15500.0 	        420.8 	      46343.4 	      21700.0 
GS253+07+062   	     100000.0 	      51800.0 	      24141.3 	      21864.6 	      19600.0 
GS261-03+055   	      24900.0 	      16500.0 	       5144.3 	       8157.5 	       9300.0 
GS257+00+067   	      20100.0 	      11800.0 	      48270.1 	      48267.0 	       7200.0 
GS263+10+020   	      13300.0 	      13900.0 	      15600.5 	      15611.5 	      15500.0 
GS164+00-021   	      30800.0 	      19800.0 	      67266.7 	      67185.5 	       9300.0 
GS129+05-061   	     211000.0 	     167000.0 	      31165.4 	      31164.0 	      18600.0 
GS135-09-056   	      54400.0 	      47700.0 	       9784.9 	      34342.7 	      13400.0 
GS153+02-047   	      24600.0 	      14000.0 	      64083.0 	      64070.3 	       9300.0 
GS133-07-045   	     158000.0 	      97500.0 	        896.2 	      31396.5 	      13400.0 
GS240+00+035   	       4830.0 	       4690.0 	       2927.0 	       3636.1 	       7200.0 
GS232+02+081   	      32600.0 	      17200.0 	      36054.5 	      42172.4 	       9300.0 
GS247+00+086   	      74700.0 	      37500.0 	       1577.6 	      40462.5 	      13400.0 
GS239-02+068   	      72100.0 	      46900.0 	     184337.7 	     184364.2 	      14400.0 
GS146-11-045   	       4120.0 	       2210.0 	       3333.1 	       3335.9 	      32000.0 
GS137+03-063   	      42400.0 	      22400.0 	      84608.6 	      84617.4 	       6200.0 
GS124-09-043   	      42500.0 	      23000.0 	      77617.9 	     139849.9 	      39200.0 
GS122-02-077   	     192000.0 	     153000.0 	       4978.9 	      10186.5 	      16500.0 
GS105-12-040   	      24200.0 	      23300.0 	       8842.5 	      10791.0 	      28900.0 
GS113-14-042   	      36400.0 	      32100.0 	        335.3 	      14744.9 	      15500.0 
GS108+03-088   	      32600.0 	      16800.0 	      32200.6 	      32228.6 	      13400.0 
GS107+02-069   	      71400.0 	      44000.0 	      22696.6 	      22696.4 	      13400.0 
GS146-11-025   	      12100.0 	       9110.0 	      32480.1 	      57963.5 	      14500.0 
GS164+00-021   	      28800.0 	      30700.0 	      67266.7 	      67185.5 	       9300.0 
GS114-05-062   	      42100.0 	      39400.0 	      31807.0 	      31764.2 	      14400.0 
GS144+08-031   	      65100.0 	      35000.0 	      10744.2 	      24819.2 	      18600.0 
269-01+080   	          NaN 	          NaN 	      64210.4 	      64231.5 	      12400.0 
268-01+066   	          NaN 	          NaN 	       1161.2 	      22483.4 	      10300.0 
267-03+117   	          NaN 	          NaN 	     175143.8 	     175100.9 	       5200.0 
266+07+029   	          NaN 	          NaN 	      26753.0 	      26555.9 	      12400.0 
265-03+108   	          NaN 	          NaN 	      11406.5 	      11399.3 	       6200.0 
265-11+024   	          NaN 	          NaN 	       3677.1 	      10131.8 	       6200.0 
264-06+100   	          NaN 	          NaN 	        217.0 	       8408.7 	       5200.0 
264-02+067   	          NaN 	          NaN 	      13710.7 	      13714.4 	       5200.0 
264-02+125   	          NaN 	          NaN 	     100873.9 	     100822.7 	      12400.0 
263+00+064   	          NaN 	          NaN 	        258.3 	      12135.6 	       9300.0 
263+00+048   	          NaN 	          NaN 	         45.7 	      50475.2 	      13400.0 
263-04+121   	          NaN 	          NaN 	      36861.1 	      36880.8 	       6200.0 
263-03+094   	          NaN 	          NaN 	       3634.6 	       7861.1 	      10300.0 
262+05+046   	          NaN 	          NaN 	       3150.4 	       3825.2 	       6200.0 
262+00+092   	          NaN 	          NaN 	      14707.9 	      14687.0 	       6200.0 
261+30+022   	          NaN 	          NaN 	       2229.0 	       2656.6 	      11300.0 
260+00+098   	          NaN 	          NaN 	      37207.8 	      43683.5 	       8300.0 
259-17+012   	          NaN 	          NaN 	         51.6 	       3955.9 	       9300.0 
258-05+090   	          NaN 	          NaN 	      76447.4 	      76457.3 	      10300.0 
257-04+107   	          NaN 	          NaN 	     423104.2 	     365226.0 	       9300.0 
257-30+021   	          NaN 	          NaN 	      10410.4 	      10359.7 	      10300.0 
256-05+052   	          NaN 	          NaN 	         68.7 	       2556.6 	       7200.0 
256+01+099   	          NaN 	          NaN 	      27880.5 	      37851.3 	       9300.0 
255+21+015   	          NaN 	          NaN 	        414.2 	       2145.8 	      14400.0 
255-04+064   	          NaN 	          NaN 	      14552.0 	      64207.6 	      15500.0 
255-01+055   	          NaN 	          NaN 	      28088.3 	      27408.3 	      13400.0 
254-13+023   	          NaN 	          NaN 	       3106.9 	       4165.8 	      10300.0 
253-03+044   	          NaN 	          NaN 	      72879.9 	      72740.2 	       9300.0 
253+04+091   	          NaN 	          NaN 	        991.6 	       9205.3 	      15500.0 
253-02+104   	          NaN 	          NaN 	      28226.0 	      28232.9 	      10300.0 
252-09+072   	          NaN 	          NaN 	      14498.8 	      14510.6 	       7200.0 
251-08+054   	          NaN 	          NaN 	      27833.5 	      30157.6 	      15500.0 
251+05+059   	          NaN 	          NaN 	        620.0 	       9927.2 	       7200.0 
249-02+052   	          NaN 	          NaN 	      23570.9 	      27683.0 	      10300.0 
249-02+123   	          NaN 	          NaN 	      23380.8 	      23382.4 	      13400.0 
248-01+062   	          NaN 	          NaN 	      77113.8 	      77130.6 	      13400.0 
248-08+046   	          NaN 	          NaN 	      22166.5 	      24865.4 	      14400.0 
247+10+023   	          NaN 	          NaN 	      10149.5 	      10012.2 	      24700.0 
245-03+098   	          NaN 	          NaN 	     333032.5 	     332948.3 	      20600.0 
245-06+065   	          NaN 	          NaN 	       8528.8 	       8523.8 	       6200.0 
244+02+075   	          NaN 	          NaN 	         76.1 	      10167.2 	       8200.0 
244-03+044   	          NaN 	          NaN 	       4756.1 	       6798.5 	       8300.0 
243-32+020   	          NaN 	          NaN 	       2434.8 	       2771.8 	       7600.0 
243-02+114   	          NaN 	          NaN 	       9362.2 	       9365.7 	       7200.0 
243-02+080   	          NaN 	          NaN 	       4057.0 	      10323.0 	       6200.0 
242-13+055   	          NaN 	          NaN 	       1016.3 	       1015.7 	       9300.0 
242+05+058   	          NaN 	          NaN 	      13048.0 	      13071.2 	       8200.0 
242+05+091   	          NaN 	          NaN 	      56285.3 	      75179.9 	      23700.0 
241-02+098   	          NaN 	          NaN 	     191906.1 	     191902.6 	      14400.0 
240-13+037   	          NaN 	          NaN 	         92.4 	       3536.6 	       8200.0 
240-05+078   	          NaN 	          NaN 	      11265.9 	      11999.2 	       7200.0 
240-11+057   	          NaN 	          NaN 	       7761.0 	       7717.6 	       9300.0 
240-03+075   	          NaN 	          NaN 	      20981.0 	      20979.9 	       6200.0 
239-02+049   	          NaN 	          NaN 	      16418.6 	      27616.3 	      14400.0 
238+07+076   	          NaN 	          NaN 	      16339.6 	      16339.5 	      14400.0 
238+08+038   	          NaN 	          NaN 	       1693.8 	       6227.7 	      15500.0 
238-06+047   	          NaN 	          NaN 	       5758.9 	       6249.0 	      13400.0 
237+06+057   	          NaN 	          NaN 	      34376.3 	      32603.2 	      19600.0 
236-17+032   	          NaN 	          NaN 	        716.6 	       7826.9 	      15500.0 
235-05+079   	          NaN 	          NaN 	       3479.6 	       7472.5 	       9300.0 
235-03+104   	          NaN 	          NaN 	      25040.0 	      24721.2 	       7200.0 
233-07+063   	          NaN 	          NaN 	       5431.7 	       6221.8 	      15500.0 
233-11+058   	          NaN 	          NaN 	        594.1 	      25614.4 	      19600.0 
233-14+047   	          NaN 	          NaN 	      52501.4 	      55071.9 	      20600.0 
232-04+075   	          NaN 	          NaN 	     117431.5 	     101979.8 	       8200.0 
231-09+044   	          NaN 	          NaN 	        182.3 	       5443.6 	      14400.0 
230-37+016   	          NaN 	          NaN 	       2098.3 	       3589.0 	       9300.0 
230+03+052   	          NaN 	          NaN 	        598.6 	       3666.3 	      10300.0 
229-02+051   	          NaN 	          NaN 	     137139.4 	     137035.0 	       8200.0 
229+02+063   	          NaN 	          NaN 	          7.6 	      18234.1 	      11300.0 
229-04+087   	          NaN 	          NaN 	     142458.8 	     142462.9 	      14400.0 
229-11+061   	          NaN 	          NaN 	       6086.7 	       5889.3 	      10300.0 
227+09+034   	          NaN 	          NaN 	       8641.1 	       8872.6 	      14400.0 
225+06+053   	          NaN 	          NaN 	       2642.4 	       4680.4 	      16500.0 
222+01+041   	          NaN 	          NaN 	      14285.3 	      15669.6 	       8200.0 
221+07+035   	          NaN 	          NaN 	       6215.4 	       6218.8 	      11300.0 
221+06+068   	          NaN 	          NaN 	      19415.5 	      21734.2 	       8200.0 
221-07+042   	          NaN 	          NaN 	      16545.9 	      16570.0 	       9300.0 
218+01+070   	          NaN 	          NaN 	     166714.5 	     166726.8 	      11300.0 
216+05+070   	          NaN 	          NaN 	       6655.0 	       6657.8 	       8200.0 
215+05+063   	          NaN 	          NaN 	      37220.9 	      36276.2 	      10300.0 
214-06+057   	          NaN 	          NaN 	      49908.2 	      50520.6 	      10300.0 
214-01+070   	          NaN 	          NaN 	      20527.6 	      19940.7 	      11300.0 
212+06+034   	          NaN 	          NaN 	         54.2 	      10743.7 	      25800.0 
212+04+053   	          NaN 	          NaN 	      18963.6 	      18923.3 	      12400.0 
212-30+020   	          NaN 	          NaN 	       2318.8 	       2612.9 	       7200.0 
211+07+049   	          NaN 	          NaN 	        459.2 	       7134.9 	      12400.0 
210-10+038   	          NaN 	          NaN 	       1523.1 	       7042.1 	      13400.0 
209-41+022   	          NaN 	          NaN 	      11347.9 	      13488.3 	      12400.0 
209+03+047   	          NaN 	          NaN 	      59214.0 	      58867.4 	       8300.0 
209-41+022   	          NaN 	          NaN 	        309.9 	      17757.8 	      12400.0 
208-03+030   	          NaN 	          NaN 	       9664.3 	       9664.8 	       6200.0 
206-01+056   	          NaN 	          NaN 	      30740.9 	      30749.9 	      11300.0 
204+06+033   	          NaN 	          NaN 	      10240.4 	      19010.5 	      10300.0 
203+25+016   	          NaN 	          NaN 	       2048.3 	       4372.5 	      18600.0 
203-11+025   	          NaN 	          NaN 	      12840.5 	      12844.9 	       9300.0 
201-29+025   	          NaN 	          NaN 	      43022.8 	      43455.9 	      16500.0 
201-34+016   	          NaN 	          NaN 	      41906.9 	      40089.9 	      14400.0 
198-18+026   	          NaN 	          NaN 	      16004.0 	      14589.2 	      12400.0 
197+00+039   	          NaN 	          NaN 	      13398.8 	      13394.7 	       7200.0 
162-09-044   	          NaN 	          NaN 	       1985.2 	      13636.0 	      12400.0 
161-03-048   	          NaN 	          NaN 	      57167.7 	      57173.9 	       6200.0 
160-06-046   	          NaN 	          NaN 	      28824.1 	      28842.9 	       7200.0 
160+05-043   	          NaN 	          NaN 	     156670.5 	     155835.6 	      10300.0 
159-08-053   	          NaN 	          NaN 	     140790.2 	     140887.4 	       8200.0 
159-03-043   	          NaN 	          NaN 	    1003712.7 	     999462.9 	       6200.0 
158+11-051   	          NaN 	          NaN 	      56179.7 	      69385.6 	      10300.0 
157+00-065   	          NaN 	          NaN 	     308889.9 	     311965.4 	      24700.0 
156+14-049   	          NaN 	          NaN 	      21755.0 	      21749.2 	       7200.0 
156+13-015   	          NaN 	          NaN 	      12360.0 	      14233.3 	       9300.0 
156-05-061   	          NaN 	          NaN 	     627976.2 	     627446.9 	      13400.0 
156-05-053   	          NaN 	          NaN 	      42282.0 	      42302.7 	       7200.0 
155+23-047   	          NaN 	          NaN 	     157628.3 	     510135.4 	      23700.0 
153-01-066   	          NaN 	          NaN 	      83144.5 	     117068.1 	      11300.0 
152+24-052   	          NaN 	          NaN 	      69830.9 	     239287.9 	      20600.0 
150-11-043   	          NaN 	          NaN 	        987.4 	       4392.1 	      23700.0 
149+01-086   	          NaN 	          NaN 	    1627191.6 	    1964997.5 	      21600.0 
148-05-057   	          NaN 	          NaN 	      74669.6 	      71145.7 	      22700.0 
148+03-029   	          NaN 	          NaN 	         10.4 	       2497.4 	      11300.0 
148-01-076   	          NaN 	          NaN 	     252896.3 	     252781.5 	       9300.0 
148-09-038   	          NaN 	          NaN 	      58858.2 	      59257.6 	      18600.0 
148-35-012   	          NaN 	          NaN 	       2103.6 	       5206.9 	      11300.0 
147+10-051   	          NaN 	          NaN 	       6581.0 	      15552.5 	      18600.0 
146-15-033   	          NaN 	          NaN 	        107.6 	       3839.1 	      14400.0 
146+02-056   	          NaN 	          NaN 	      33834.2 	      44856.5 	       8200.0 
143+06-070   	          NaN 	          NaN 	       3515.8 	      82297.7 	      10300.0 
143-16-049   	          NaN 	          NaN 	      60749.6 	     232096.1 	      22700.0 
142+43-052   	          NaN 	          NaN 	      11747.1 	      24294.7 	      15500.0 
141+02-083   	          NaN 	          NaN 	      76101.4 	      76049.3 	       7200.0 
139-06-033   	          NaN 	          NaN 	        160.1 	      26162.1 	      29900.0 
138-02-098   	          NaN 	          NaN 	     264704.1 	     264988.6 	      11300.0 
137+04-071   	          NaN 	          NaN 	     174926.7 	     175703.8 	       9300.0 
135+01-101   	          NaN 	          NaN 	      47404.7 	      67497.5 	       7200.0 
135-09-070   	          NaN 	          NaN 	      27319.4 	      27772.6 	      12400.0 
135-05-090   	          NaN 	          NaN 	       4763.0 	      19624.5 	      12400.0 
135-07-077   	          NaN 	          NaN 	      58212.6 	      58647.7 	      14400.0 
134+06-038   	          NaN 	          NaN 	       3281.5 	      32450.7 	      23700.0 
134-07-082   	          NaN 	          NaN 	       6291.8 	       6119.9 	      21600.0 
134-25-020   	          NaN 	          NaN 	        779.9 	      28418.2 	      17500.0 
133-03-078   	          NaN 	          NaN 	       3759.2 	       5609.0 	      11300.0 
133+00-088   	          NaN 	          NaN 	      77020.2 	     123794.5 	       7200.0 
133-07-073   	          NaN 	          NaN 	       2045.7 	      29240.4 	      19600.0 
132-28-031   	          NaN 	          NaN 	      11079.2 	      53302.3 	      24700.0 
131+05-071   	          NaN 	          NaN 	      17069.4 	      17984.8 	      14400.0 
131+03-056   	          NaN 	          NaN 	     362301.9 	     269010.7 	       9300.0 
130-17-048   	          NaN 	          NaN 	      60334.9 	      61570.9 	      16500.0 
130+04-088   	          NaN 	          NaN 	        222.3 	      14071.6 	       9300.0 
129+01-108   	          NaN 	          NaN 	      35755.2 	      35797.1 	       9300.0 
129+06-086   	          NaN 	          NaN 	       6531.2 	      17520.8 	      17700.0 
129-01-114   	          NaN 	          NaN 	      80344.1 	      80079.6 	      12400.0 
129+09-069   	          NaN 	          NaN 	      59771.3 	      59540.4 	      12400.0 
128+03-081   	          NaN 	          NaN 	     184057.9 	     181722.3 	      17500.0 
128+06-111   	          NaN 	          NaN 	      19598.2 	      19536.7 	       9200.0 
128+04-099   	          NaN 	          NaN 	         36.1 	      18817.8 	       9300.0 
127-02-100   	          NaN 	          NaN 	      34633.7 	      34306.2 	      10300.0 
127+05-094   	          NaN 	          NaN 	      31224.5 	      31252.1 	      10300.0 
127+05-040   	          NaN 	          NaN 	      17731.5 	      17731.2 	      24700.0 
127+09-079   	          NaN 	          NaN 	      24960.1 	      24952.7 	       8300.0 
125+04-076   	          NaN 	          NaN 	      42824.2 	      70818.8 	      22700.0 
124+09-064   	          NaN 	          NaN 	        178.6 	      37261.2 	      32000.0 
124+14-026   	          NaN 	          NaN 	       1505.1 	       2148.2 	      11300.0 
123+06-109   	          NaN 	          NaN 	      63967.1 	      88803.0 	      10300.0 
123+12-076   	          NaN 	          NaN 	      85262.0 	      96698.9 	      15500.0 
122+06-077   	          NaN 	          NaN 	      12004.3 	      12012.9 	       6200.0 
122+09-042   	          NaN 	          NaN 	        270.4 	      41291.4 	      12400.0 
122+02-077   	          NaN 	          NaN 	      97225.1 	      96971.6 	      15500.0 
122+14-060   	          NaN 	          NaN 	      35205.0 	      44797.0 	      25800.0 
121+02-119   	          NaN 	          NaN 	     106356.6 	     106363.7 	      13400.0 
121+00-076   	          NaN 	          NaN 	        172.6 	      19080.8 	      19600.0 
121+04-090   	          NaN 	          NaN 	       2762.7 	      57464.9 	      25800.0 
120-05-073   	          NaN 	          NaN 	      21524.5 	      38086.6 	       7200.0 
120+06-105   	          NaN 	          NaN 	        105.5 	      22088.2 	      11300.0 
120+04-085   	          NaN 	          NaN 	       1843.0 	      50965.6 	      27800.0 
118+06-096   	          NaN 	          NaN 	      61507.1 	      61476.3 	      12400.0 
118+02-115   	          NaN 	          NaN 	      45221.7 	      45200.6 	      10300.0 
