Name   	 long 	 lat 	 X0 	 Y0 	 a 	 b 	 tita 	 V0 	 dV 	 D 	 MassMiss  	 MassShell 
GS101-02-037   	        101.3 	         -2.3 	        100.8 	         -1.9 	          2.4 	          1.8 	          1.4 	     -37100.0 	      18600.0 	          4.2 	      66200.0 
1.170000e+05   	 GS108-03-022   	        107.1 	         -4.8 	        107.9 	         -3.3 	          4.3 	          3.7 	         78.0 	     -21600.0 	      27800.0 	          2.2 	      52300.0 
8.310000e+04   	 GS101+29-026   	        102.7 	         29.5 	        101.0 	         29.3 	          5.8 	          4.5 	          4.2 	     -25800.0 	      34000.0 	          3.3 	      49600.0 
   	 GS118+01-044   	        117.9 	          1.1 	        117.9 	          1.2 	          2.5 	          1.9 	        -17.7 	     -44300.0 	      16500.0 	          3.9 	      51200.0 
鐌   	 GS121-05-037   	        121.5 	         -5.8 	        121.0 	         -5.0 	          3.8 	          2.6 	         76.5 	     -37100.0 	      14400.0 	          3.2 	      58500.0 
1.110000e+05   	 GS093-06-034   	         92.2 	         -5.9 	         92.5 	         -6.0 	          2.6 	          1.6 	        -31.1 	     -34000.0 	      32000.0 	          4.9 	      12800.0 
搀   	 GS104+03-038   	        104.1 	          3.6 	        104.2 	          2.9 	          3.0 	          1.6 	        -17.9 	     -38100.0 	      15500.0 	          4.0 	      39000.0 
   	 GS100-06-019   	         98.7 	         -6.7 	        100.3 	         -5.9 	          6.0 	          4.3 	         -5.8 	     -18600.0 	       9300.0 	          2.5 	      27000.0 
즐   	 GS119-04-058   	        118.7 	         -4.9 	        118.5 	         -3.7 	          2.3 	          2.0 	         -0.5 	     -57700.0 	      19600.0 	          5.4 	      48600.0 
7.100000e+04   	 GS115-05-054   	        115.4 	         -5.0 	        114.7 	         -4.9 	          2.1 	          1.4 	         -7.4 	     -53600.0 	      14400.0 	          5.0 	      18000.0 
垀   	 GS114-03-054   	        113.7 	         -3.2 	        113.9 	         -2.9 	          2.0 	          1.4 	        -22.2 	     -53600.0 	      11300.0 	          5.0 	       9620.0 
䢨   	 GS102-08-054   	        101.5 	        -10.0 	        101.8 	         -7.9 	          3.4 	          2.5 	         51.5 	     -53600.0 	      36100.0 	          5.9 	      60600.0 
1.070000e+05   	 GS107+13-040   	        107.5 	         13.2 	        106.7 	         12.7 	          2.9 	          2.2 	        111.9 	     -40200.0 	      32000.0 	          4.1 	      20400.0 
鑰   	 GS113-01-075   	        113.2 	         -0.8 	        113.2 	         -0.8 	          2.1 	          1.7 	          2.4 	     -75200.0 	      12400.0 	          7.5 	      46900.0 
9.100000e+04   	 GS195+28+014   	        195.0 	         28.9 	        195.2 	         27.8 	          3.3 	          2.3 	        108.5 	      14400.0 	       6200.0 	          3.3 	       2430.0 
ఒ   	 GS201-23+025   	        200.4 	        -23.6 	        200.9 	        -22.9 	          2.4 	          1.7 	        -11.2 	      24700.0 	       6200.0 	          4.6 	       2100.0 
ྖ   	 GS199-13+025   	        198.7 	        -12.4 	        199.5 	        -12.8 	          1.9 	          1.7 	         35.2 	      24700.0 	       6200.0 	          4.7 	       2660.0 
ᓦ   	 GS198-01+035   	        197.7 	         -1.8 	        197.9 	         -1.5 	          1.7 	          1.0 	          3.1 	      35000.0 	       5200.0 	          9.2 	      20300.0 
譴   	 GS202+10+014   	        200.2 	         12.4 	        202.0 	          9.6 	          4.3 	          3.1 	         15.5 	      14400.0 	      12400.0 	          2.0 	       3740.0 
ᤀ   	 GS140-03-079   	        139.7 	         -3.2 	        139.8 	         -2.5 	          3.4 	          3.2 	         47.8 	     -79400.0 	      14400.0 	         11.7 	     153000.0 
2.970000e+05   	 GS141-10-042   	        141.3 	         -9.8 	        140.8 	        -10.0 	          4.0 	          2.7 	          2.3 	     -42300.0 	      10300.0 	          4.4 	      18500.0 
炀   	 GS144-03-054   	        144.6 	         -4.0 	        144.3 	         -3.3 	          2.4 	          1.6 	        -40.1 	     -53600.0 	      12400.0 	          6.7 	       3190.0 
ᠤ   	 GS138+02-053   	        138.2 	          2.2 	        137.8 	          2.1 	          1.6 	          1.2 	        -15.5 	     -52600.0 	      12400.0 	          5.5 	      13800.0 
晘   	 GS136-09-033   	        136.2 	         -9.1 	        135.6 	         -9.3 	          4.4 	          2.8 	         44.4 	     -33000.0 	      11300.0 	          2.9 	      13000.0 
埤   	 GS227+05+051   	        227.9 	          5.5 	        227.3 	          5.5 	          3.0 	          1.8 	        -42.3 	      50500.0 	      14400.0 	          4.7 	       4100.0 
Ṥ   	 GS229+03+073   	        229.1 	          2.8 	        229.2 	          2.6 	          1.4 	          0.9 	         -0.9 	      73200.0 	      13400.0 	          8.0 	      12200.0 
嚸   	 GS221-03+045   	        220.7 	         -3.3 	        220.5 	         -3.2 	          2.7 	          2.4 	         36.8 	      45400.0 	       7200.0 	          4.5 	      14000.0 
歬   	 GS230-06+040   	        228.7 	         -6.8 	        230.0 	         -6.1 	          4.0 	          2.9 	         93.3 	      40200.0 	      10300.0 	          3.5 	      35500.0 
   	 GS222+13+026   	        222.1 	         13.3 	        222.3 	         13.5 	          4.8 	          3.7 	        -11.5 	      25800.0 	      10300.0 	          2.2 	       4010.0 
ᗌ   	 GS240+05+033   	        240.5 	          5.6 	        239.8 	          5.5 	          3.2 	          1.9 	         16.0 	      33000.0 	       8200.0 	          2.8 	       3970.0 
ᒖ   	 GS259-08+090   	        259.0 	         -8.7 	        259.0 	         -8.2 	          2.8 	          2.0 	         23.1 	      89700.0 	      15500.0 	         10.3 	      66500.0 
1.090000e+05   	 GS246+07+048   	        245.8 	          7.8 	        246.0 	          6.9 	          2.6 	          1.7 	        106.5 	      48400.0 	      12400.0 	          4.5 	       5720.0 
ᜪ   	 GS256-16+055   	        256.6 	        -16.9 	        255.8 	        -16.0 	          2.2 	          2.0 	         -5.1 	      54600.0 	      12400.0 	          6.0 	       7650.0 
ⶴ   	 GS253-12+053   	        252.5 	        -12.6 	        252.6 	        -11.8 	          2.1 	          1.7 	         24.5 	      52600.0 	      24700.0 	          5.4 	      29500.0 
