Name   	 Shell  
GS103+07-018*   	   7.25874838 
GS116-06-042*   	   4.27938242 
GS093-14-021*   	   2.25138475 
GS120+16-067*   	   0.71378516 
GS109+06-032   	   3.39136274 
GS098-25-018*   	   1.13808421 
GS100+09-040*   	   1.54254932 
GS093+11-034*   	   1.31670588 
GS098+24-032   	   0.78867171 
GS101-13-056*   	   0.75986600 
GS105-03-061   	   2.22473838 
GS110-04-067   	   1.76077680 
GS108+00-075*   	   3.16376903 
GS117+08-076*   	   1.80170824 
GS202+05+031   	   2.61414079 
GS139+06-054*   	   3.06233680 
GS142-01-057   	   1.79547713 
GS153-10-026*   	   1.81957627 
GS130+00-068*   	   1.26724842 
GS161+03-036   	   8.79745423 
GS218-05+037*   	   6.51718423 
GS224-18+036   	   0.85076659 
GS240-13+064*   	   0.77999678 
GS257+09+037   	   1.13207206 
GS257-25+030*   	   0.60410744 
GS262-09+048*   	   0.91861835 
GS264-04+044   	   4.53806182 
GS252-04+074*   	   5.50563595 
GS263-08+068*   	   1.24896018 
GS089-21-025*   	   0.98253987 
GS109+16-033*   	   1.01643279 
GS120+08-028   	   1.52722741 
GS153-10-026*   	   1.81957627 
GS247+06+055*   	   2.81768875 
GS246-05+086   	   1.75795158 
GS142-01-057   	   1.79547713 
268+00+108   	   2.86434955 
268+06+036*   	   1.47092246 
266-05+096*   	   4.43502382 
265-10+080*   	   1.05382763 
265+05+043*   	   0.81797357 
264+23+019*   	   1.17100872 
263-02+093   	   4.12671870 
263+09+042*   	   0.95410494 
262-08+091*   	   1.16169127 
262-01+110   	   2.66065191 
260-05+104   	   2.69478765 
258+22+020   	   1.24279657 
256+00+079   	   5.23455456 
254-05+080   	   2.13804076 
254+30+016*   	   0.94214644 
252-03+039   	   7.03417291 
252+02+052*   	   3.86348439 
252-21+031*   	   0.43427854 
252+04+064*   	   2.10454704 
251-02+111   	   3.15385901 
250-14+055*   	   0.40886915 
247-13+045*   	   0.62428028 
246-01+109   	   1.37100933 
246-06+055   	   3.67774816 
246+00+100   	   1.57423324 
243-15+047*   	   1.21852584 
243-10+053   	   1.43534383 
243+06+047*   	   1.33715859 
241-19+035*   	   0.53953653 
241+08+066   	   0.73052821 
240-08+051   	   0.93068919 
238+02+068*   	   5.68124614 
238-07+057   	   1.08116144 
237+11+032*   	   0.72705043 
235-03+083   	   3.11218669 
231+01+087   	   0.94134828 
229-02+094   	   0.43274176 
226-07+039   	   2.36702357 
224+07+038   	   0.83207685 
220+00+048   	   2.72179113 
219-27+023*   	   1.21359462 
218+03+055   	   6.81776130 
217-03+065   	   3.10052932 
216-21+035*   	   0.70498946 
215-11+033   	   2.63601942 
208-36+016*   	   1.20575728 
206+07+051   	   0.80515676 
203+09+025*   	   0.76453534 
202+05+031   	   2.61414079 
199-39+022   	   0.65600344 
199+02+033   	   2.50203669 
163+09-048   	   0.91394464 
158-27-039   	   0.34025494 
157-02-049   	   1.70149741 
157+03-044   	   2.59624201 
156+32-053   	   0.67186552 
154+35-057   	   0.56158846 
154+00-071   	   1.12093248 
153+34-052   	   0.60113355 
153-05-029*   	  10.40465293 
152-03-078   	   0.79362380 
150+05-058   	   2.23577653 
147+41-056   	   0.88512444 
147-09-056   	   1.05258882 
146+06-045*   	   4.11442889 
146-05-078   	   1.42124293 
146-48-016   	   0.66160903 
145+38-058   	   0.56906824 
145-09-066   	   0.95311088 
142-15-030*   	   0.84327444 
141-05-041*   	   2.89176801 
141+18-057   	   0.35735854 
139+09-067   	   0.75662182 
138+08-077   	   0.64158056 
137+06-029*   	   2.97963886 
136+05-102   	   0.53277390 
136-04-077   	   0.99068002 
135+08-057   	   1.10080495 
135+05-081   	   2.65573236 
135+02-090   	   2.47611008 
134+11-044*   	   0.72229742 
133-03-063   	   1.42979691 
132+04-106   	   0.74495046 
132-01-078   	   1.58537928 
132+01-109   	   0.92938599 
131-05-067*   	   1.28371804 
130-04-096   	   0.99799200 
130+00-101   	   2.43599066 
128-07-066*   	   1.07506515 
128+01-103   	   3.06057357 
127-01-082   	   1.35625145 
127-02-069   	   3.18039428 
127-05-066*   	   1.30928624 
126+00-112   	   0.99969153 
126+05-123   	   0.61651318 
126+01-061   	   4.90556335 
125-04-072   	   1.10834091 
123+01-060*   	   2.95354509 
121+24-023*   	   1.18662384 
120+02-059*   	   6.76263798 
120+03-095   	   3.85287722 
120-17-043*   	   0.87898249 
116+02-061*   	   4.34422563 
116+06-059*   	   2.66563103 
116+04-089   	   2.65705719 
116-09-062*   	   0.94969667 
115-01-059   	   3.81605392 
115+04-048*   	   6.80905080 
114+02-112   	   0.99216724 
114-01-099   	   1.16608845 
114+00-044*   	  10.41514589 
113+18-023   	   1.70064723 
113-02-107   	   1.12205021 
113+01-086*   	   1.68897425 
113+09-077*   	   1.17277268 
113+05-063   	   2.87737793 
112+08-130   	   0.53704414 
112+20-035*   	   0.69376183 
111+04-109   	   2.90002970 
111+08-075*   	   1.37695837 
111+33-081   	   0.50653519 
111+03-080   	   2.34773304 
110+02-117   	   0.82723412 
110+05-114   	   1.79845741 
108+24-029   	   0.82732221 
107+04-052*   	   2.66686900 
107+07-107   	   1.93121294 
107+09-128   	   0.48787391 
107+07-119   	   1.23504814 
106-10-043*   	   1.11848699 
105+09-021   	   4.56068763 
104-20-035*   	   0.73692933 
104+06-092*   	   1.80464110 
103+08-129   	   0.69704154 
103+03-113   	   0.96039050 
102+00-085*   	   0.96505492 
101+26-042*   	   0.67024120 
100+05-101   	   2.79730172 
100+29-042*   	   0.70126544 
100+37-057   	   0.92154463 
099-09-030*   	   0.89920717 
098-01-046*   	   6.66214522 
098+01-048*   	  13.37687951 
097+00-028   	   9.48664740 
094+08-043*   	   2.55161365 
092+03-113   	   1.20093806 
091+08-035*   	   1.95099921 
091-04-067*   	   2.55784264 
091+06-115   	   1.49253875 
