Name   	 Shell  
GS101-02-037   	   6.99883679 
GS108-03-022   	   3.96810927 
GS101+29-026   	   0.75810374 
GS118+01-044   	  13.82568242 
GS121-05-037   	   5.70799507 
GS093-06-034   	   1.68255324 
GS104+03-038   	   4.99582144 
GS100-06-019   	   1.81181620 
GS119-04-058   	   1.58536130 
GS115-05-054   	   2.63712947 
GS114-03-054   	   4.91188560 
GS102-08-054   	   1.49057827 
GS107+13-040   	   1.19485204 
GS113-01-075   	   2.15325131 
GS195+28+014   	   0.93556538 
GS201-23+025   	   0.75475516 
GS199-13+025   	   2.08625971 
GS198-01+035   	   4.78798548 
GS202+10+014   	   0.72706158 
GS140-03-079   	   2.01851691 
GS141-10-042   	   1.75653738 
GS144-03-054   	   1.86533348 
GS138+02-053   	   8.22612697 
GS136-09-033   	   0.89828741 
GS227+05+051   	   1.53870254 
GS229+03+073   	   1.54151247 
GS221-03+045   	   5.48146909 
GS230-06+040   	   7.86274507 
GS222+13+026   	   1.64095963 
GS240+05+033   	   2.12006516 
GS259-08+090   	   1.66265591 
GS246+07+048   	   0.99933016 
GS256-16+055   	   0.32459377 
GS253-12+053   	   0.93824409 
GS265-06+082   	   2.05907198 
GS260-04+081   	   1.39750089 
GS269+04+044   	   1.76714475 
GS253+07+062   	   0.71153917 
GS261-03+055   	   2.62711430 
GS257+00+067   	   4.70095740 
GS263+10+020   	   1.87226420 
GS164+00-021   	   9.26647404 
GS129+05-061   	   2.47575626 
GS135-09-056   	   1.37958648 
GS153+02-047   	   5.93597122 
GS133-07-045   	   3.29418263 
GS240+00+035   	   0.95478662 
GS232+02+081   	   1.99979350 
GS247+00+086   	   3.34635008 
GS239-02+068   	  10.40029124 
GS146-11-045   	   1.11314662 
GS137+03-063   	   4.03243092 
GS124-09-043   	   2.06439371 
GS122-02-077   	   0.57382211 
GS105-12-040   	   0.75866729 
GS113-14-042   	   0.95082024 
GS108+03-088   	   4.74925155 
GS107+02-069   	   4.25261584 
GS146-11-025   	   3.84436639 
GS164+00-021   	   9.26647404 
GS114-05-062   	   1.71738478 
GS144+08-031   	   1.88357224 
