Name   	 Shell  
GS101-02-037   	   6.99883679 
GS108-03-022   	   3.96810927 
GS101+29-026   	   0.75810374 
GS118+01-044   	  13.82568242 
GS121-05-037   	   5.70799507 
GS093-06-034   	   1.68255324 
GS104+03-038   	   4.99582144 
GS100-06-019   	   1.81181620 
GS119-04-058   	   2.31547518 
GS115-05-054   	   2.63712947 
GS114-03-054   	   4.91188560 
GS102-08-054   	   1.49057827 
GS107+13-040   	   1.19485204 
GS113-01-075   	   2.15325131 
GS195+28+014   	   0.93556538 
GS201-23+025   	   0.69005464 
GS199-13+025   	   2.08625971 
GS198-01+035   	   4.78798548 
GS202+10+014   	   0.72706158 
GS140-03-079   	   2.01851691 
GS141-10-042   	   1.75653738 
GS144-03-054   	   1.97825828 
GS138+02-053   	   8.22612697 
GS136-09-033   	   0.89828741 
GS227+05+051   	   1.70950569 
GS229+03+073   	   1.54151247 
GS221-03+045   	   5.48146909 
GS230-06+040   	   7.86274507 
GS222+13+026   	   1.64095963 
GS240+05+033   	   2.12006516 
GS259-08+090   	   1.66265591 
GS246+07+048   	   0.99933016 
GS256-16+055   	   0.40647504 
GS253-12+053   	   0.72324836 
GS265-06+082   	   1.50957737 
GS260-04+081   	   1.44769086 
GS269+04+044   	   1.76714475 
GS253+07+062   	   0.71153917 
GS261-03+055   	   2.62711430 
GS257+00+067   	   4.70095740 
GS263+10+020   	   1.87226420 
GS164+00-021   	   9.26647404 
GS129+05-061   	   2.47575626 
GS135-09-056   	   1.37958648 
GS153+02-047   	   5.93597122 
GS133-07-045   	   3.29418263 
GS240+00+035   	   0.95478662 
GS232+02+081   	   1.95272304 
GS247+00+086   	   3.34213345 
GS239-02+068   	  10.40029124 
GS146-11-045   	   1.11314662 
GS137+03-063   	   4.03243092 
GS124-09-043   	   2.34703330 
GS122-02-077   	   0.57382211 
GS105-12-040   	   0.75866729 
GS113-14-042   	   0.95082024 
GS108+03-088   	   4.74925155 
GS107+02-069   	   4.25261584 
GS146-11-025   	   3.84436639 
GS164+00-021   	   9.26647404 
GS114-05-062   	   1.71738478 
GS144+08-031   	   1.88357224 
269-01+080   	   7.71927176 
268-01+066   	   3.77491616 
267-03+117   	   3.67935359 
266+07+029   	   1.62930363 
265-03+108   	   1.58284623 
265-11+024   	   0.65738425 
264-06+100   	   2.65465324 
264-02+067   	   3.21433265 
264-02+125   	   1.73113765 
263+00+064   	   3.05954416 
263+00+048   	   9.65986429 
263-04+121   	   1.92733561 
263-03+094   	   3.37785997 
262+05+046   	   0.78656587 
262+00+092   	   2.05518668 
261+30+022   	   0.67809795 
260+00+098   	   3.95343232 
259-17+012   	   1.30240487 
258-05+090   	   4.26820077 
257-04+107   	   7.57859640 
257-30+021   	   0.71978041 
256-05+052   	   1.00350862 
256+01+099   	   1.50870209 
255+21+015   	   0.93906050 
255-04+064   	   2.66389345 
255-01+055   	   3.71721392 
254-13+023   	   1.11698092 
253-03+044   	   2.24401259 
253+04+091   	   1.27779722 
253-02+104   	   4.18124389 
252-09+072   	   0.64037365 
251-08+054   	   1.30040637 
251+05+059   	   0.60900429 
249-02+052   	   3.65678872 
249-02+123   	   0.49954696 
248-01+062   	   6.32160060 
248-08+046   	   2.02691231 
247+10+023   	   1.02583133 
245-03+098   	   6.04612555 
245-06+065   	   2.06713173 
244+02+075   	   2.91558157 
244-03+044   	   0.74480822 
243-32+020   	   0.39681075 
243-02+114   	   0.72924552 
243-02+080   	   5.78705319 
242-13+055   	   0.36582654 
242+05+058   	   2.31145907 
242+05+091   	   0.67638768 
241-02+098   	   4.20746999 
240-13+037   	   1.34430820 
240-05+078   	   2.65886414 
240-11+057   	   0.97924432 
240-03+075   	   6.01818187 
239-02+049   	   1.87634737 
238+07+076   	   0.77671882 
